answer,pct,pollster,methodology,population,population_full,sample_size,numeric_grade,pollscore,party,transparency_score,end_date
Trump,47,Marist,Online Panel/Text-to-Web,lv,lv,1401,2.9,-0.9,REP,9,10/10/24
Harris,51,Marist,Online Panel/Text-to-Web,rv,rv,1708,2.9,-0.9,DEM,9,10/10/24
Trump,48,Marist,Online Panel/Text-to-Web,rv,rv,1708,2.9,-0.9,REP,9,10/10/24
Harris,50,RMG Research,Online Panel,lv,lv,2945,2.3,-0.4,DEM,5,10/10/24
Trump,47,RMG Research,Online Panel,lv,lv,2945,2.3,-0.4,REP,5,10/10/24
Harris,50,Siena/NYT,Live Phone,rv,rv,857,3,-1.5,DEM,9,10/10/24
Trump,47,Siena/NYT,Live Phone,rv,rv,857,3,-1.5,REP,9,10/10/24
Harris,49,Siena/NYT,Live Phone,rv,rv,857,3,-1.5,DEM,9,10/10/24
Trump,45,Siena/NYT,Live Phone,rv,rv,857,3,-1.5,REP,9,10/10/24
Stein,2,Siena/NYT,Live Phone,rv,rv,857,3,-1.5,GRE,9,10/10/24
Oliver,1,Siena/NYT,Live Phone,rv,rv,857,3,-1.5,LIB,9,10/10/24
Harris,50,Siena/NYT,Live Phone,lv,lv,857,3,-1.5,DEM,9,10/10/24
Trump,47,Siena/NYT,Live Phone,lv,lv,857,3,-1.5,REP,9,10/10/24
Harris,49,Siena/NYT,Live Phone,lv,lv,857,3,-1.5,DEM,9,10/10/24
Trump,45,Siena/NYT,Live Phone,lv,lv,857,3,-1.5,REP,9,10/10/24
Stein,1,Siena/NYT,Live Phone,lv,lv,857,3,-1.5,GRE,9,10/10/24
Oliver,0,Siena/NYT,Live Phone,lv,lv,857,3,-1.5,LIB,9,10/10/24
Harris,46,Siena/NYT,Live Phone,lv,lv,808,3,-1.5,DEM,9,10/10/24
Trump,51,Siena/NYT,Live Phone,lv,lv,808,3,-1.5,REP,9,10/10/24
Harris,45,Siena/NYT,Live Phone,lv,lv,808,3,-1.5,DEM,9,10/10/24
Trump,50,Siena/NYT,Live Phone,lv,lv,808,3,-1.5,REP,9,10/10/24
Stein,1,Siena/NYT,Live Phone,lv,lv,808,3,-1.5,GRE,9,10/10/24
Oliver,0,Siena/NYT,Live Phone,lv,lv,808,3,-1.5,LIB,9,10/10/24
Harris,45,Siena/NYT,Live Phone,rv,rv,808,3,-1.5,DEM,9,10/10/24
Trump,51,Siena/NYT,Live Phone,rv,rv,808,3,-1.5,REP,9,10/10/24
Harris,44,Siena/NYT,Live Phone,rv,rv,808,3,-1.5,DEM,9,10/10/24
Trump,49,Siena/NYT,Live Phone,rv,rv,808,3,-1.5,REP,9,10/10/24
Stein,2,Siena/NYT,Live Phone,rv,rv,808,3,-1.5,GRE,9,10/10/24
Oliver,1,Siena/NYT,Live Phone,rv,rv,808,3,-1.5,LIB,9,10/10/24
Harris,47,RMG Research,Online Panel,lv,lv,731,2.3,-0.4,DEM,5,10/10/24
Trump,50,RMG Research,Online Panel,lv,lv,731,2.3,-0.4,REP,5,10/10/24
Harris,56,UMass Amherst/YouGov,Online Panel,a,a,700,2.4,-0.4,DEM,7.5,10/10/24
Trump,30,UMass Amherst/YouGov,Online Panel,a,a,700,2.4,-0.4,REP,7.5,10/10/24
Stein,2,UMass Amherst/YouGov,Online Panel,a,a,700,2.4,-0.4,GRE,7.5,10/10/24
Oliver,1,UMass Amherst/YouGov,Online Panel,a,a,700,2.4,-0.4,LIB,7.5,10/10/24
De la Cruz,1,UMass Amherst/YouGov,Online Panel,a,a,700,2.4,-0.4,PSL,7.5,10/10/24
Ayyadurai,1,UMass Amherst/YouGov,Online Panel,a,a,700,2.4,-0.4,IND,7.5,10/10/24
Harris,50,University of Massachusetts Lowell/YouGov,Online Panel,lv,lv,600,2.9,-1,DEM,9,10/10/24
Trump,41,University of Massachusetts Lowell/YouGov,Online Panel,lv,lv,600,2.9,-1,REP,9,10/10/24
Stein,1,University of Massachusetts Lowell/YouGov,Online Panel,lv,lv,600,2.9,-1,GRE,9,10/10/24
Oliver,1,University of Massachusetts Lowell/YouGov,Online Panel,lv,lv,600,2.9,-1,LIB,9,10/10/24
Harris,46,YouGov,Online Panel,lv,lv,1091,3,-1.1,DEM,9,10/10/24
Trump,51,YouGov,Online Panel,lv,lv,1091,3,-1.1,REP,9,10/10/24
Stein,2,YouGov,Online Panel,lv,lv,1091,3,-1.1,GRE,9,10/10/24
Oliver,1,YouGov,Online Panel,lv,lv,1091,3,-1.1,LIB,9,10/10/24
Harris,50,Marquette Law School,Probability Panel,rv,rv,780,3,-1.1,DEM,10,10/10/24
Trump,50,Marquette Law School,Probability Panel,rv,rv,780,3,-1.1,REP,10,10/10/24
Harris,43,Marquette Law School,Probability Panel,rv,rv,780,3,-1.1,DEM,10,10/10/24
Trump,39,Marquette Law School,Probability Panel,rv,rv,780,3,-1.1,REP,10,10/10/24
Kennedy,10,Marquette Law School,Probability Panel,rv,rv,780,3,-1.1,IND,10,10/10/24
Oliver,3,Marquette Law School,Probability Panel,rv,rv,780,3,-1.1,LIB,10,10/10/24
Stein,1,Marquette Law School,Probability Panel,rv,rv,780,3,-1.1,GRE,10,10/10/24
West,3,Marquette Law School,Probability Panel,rv,rv,780,3,-1.1,IND,10,10/10/24
Harris,50,Marquette Law School,Probability Panel,lv,lv,652,3,-1.1,DEM,10,10/10/24
Trump,50,Marquette Law School,Probability Panel,lv,lv,652,3,-1.1,REP,10,10/10/24
Harris,44,Marquette Law School,Probability Panel,lv,lv,652,3,-1.1,DEM,10,10/10/24
Trump,41,Marquette Law School,Probability Panel,lv,lv,652,3,-1.1,REP,10,10/10/24
Kennedy,9,Marquette Law School,Probability Panel,lv,lv,652,3,-1.1,IND,10,10/10/24
Oliver,2,Marquette Law School,Probability Panel,lv,lv,652,3,-1.1,LIB,10,10/10/24
Stein,1,Marquette Law School,Probability Panel,lv,lv,652,3,-1.1,GRE,10,10/10/24
West,2,Marquette Law School,Probability Panel,lv,lv,652,3,-1.1,IND,10,10/10/24
Harris,46,U. Houston,Online Panel,lv,lv,1329,2.2,-0.3,DEM,4,10/10/24
Trump,51,U. Houston,Online Panel,lv,lv,1329,2.2,-0.3,REP,4,10/10/24
Stein,1,U. Houston,Online Panel,lv,lv,1329,2.2,-0.3,GRE,4,10/10/24
Oliver,0,U. Houston,Online Panel,lv,lv,1329,2.2,-0.3,LIB,4,10/10/24
Harris,46,InsiderAdvantage,Text,lv,lv,800,2,-0.3,DEM,5,10/9/24
Trump,48,InsiderAdvantage,Text,lv,lv,800,2,-0.3,REP,5,10/9/24
