Poll_ID,Pollster,PollScore,Sample_Size,Party,PCT,Answer
8341,Embold Research,1.6,12874,GRE,45,Kennedy
67337,PEM Management Corporation,-0.8,17203,GRE,46,Biden
88161,YouGov/SNF Agora,-1.1,21713,REP,37,Kennedy
428,Global Strategy Group/North Star Opinion Research,-0.9,23821,PSL,39,Trump
70509,Franklin and Marshall College,-1,25693,REP,41,Trump
75826,Texas Hispanic Policy Foundation,-0.5,19095,OTH,48,Harris
20005,Gateway Political Strategies,-1.5,17443,LIB,44,Trump
30738,Arc Insights,-1,21740,IND,61,Harris
21524,U. New Hampshire,-0.7,24930,REP,49,Stein
61271,NORC,0.1,7124,IND,42,Harris
72085,RMG Research,-0.3,13965,CON,44,Biden
54579,EPIC/MRA,-0.1,6536,OTH,44,Stein
411,Split Ticket/Data for Progress,-1.2,14014,GRE,49,Stein
13514,YouGov/SNF Agora,0.6,7982,DEM,41,Biden
89,Ohio Northern University Institute for Civics and Public Policy,-1.2,20269,UNK,36,Biden
67018,Axis Research,0.2,9843,UNK,46,Trump
36295,Gateway Political Strategies,-0.4,23160,GRE,51,West
3037,Zogby,1.7,23954,LIB,52,Biden
8566,Hoffman Research,0.1,22217,PSL,54,West
60642,Florida Atlantic University,-0.3,9476,OTH,52,Biden
79481,Florida Atlantic University,0.2,3892,UNK,45,Oliver
30232,Echelon Insights/GBAO,-1.2,21641,IND,48,Kennedy
3942,BK Strategies,-1.5,24921,GRE,51,Trump
85761,The Washington Post,0.4,7461,DEM,42,Kennedy
62323,OnMessage Inc.,0.4,5710,CON,56,Harris
21864,Suffolk,-0.1,12599,LIB,62,West
27287,Gravis Marketing (post 2020),-1.5,16215,PSL,49,Kennedy
81584,Digital Research,NA,4495,IND,51,Trump
62114,McLaughlin,0.7,25009,GRE,35,Harris
33702,Focaldata,-0.9,8622,OTH,42,Trump
5852,Peak Insights,-0.3,14560,GRE,53,Trump
7261,New Bridge Strategy/Aspect Strategic,0.4,11664,REP,50,Trump
54064,Lake Research,NA,17420,DEM,52,Oliver
40182,Data Viewpoint,-0.4,11184,REP,45,Kennedy
36537,Split Ticket/Data for Progress,-0.7,11972,DEM,49,West
75897,PEM Management Corporation,0,17741,CON,47,Stein
86283,3W Insights,-1.5,7178,LIB,50,Harris
18003,Innovative Research Group,-0.7,16047,REP,44,Stein
21596,AtlasIntel,-1.1,21354,DEM,49,Harris
87975,NewsNation/Decision Desk HQ,0.2,12509,GRE,60,Biden
76392,Faucheux Strategies,-0.6,18624,LIB,35,Trump
42807,VCreek/AMG,-1.2,17476,REP,44,Oliver
44695,Clarity,-0.8,24872,REP,44,Biden
57270,Gateway Political Strategies,NA,20516,GRE,53,DeSantis
19982,Harris Poll,0.4,5916,CON,53,Kennedy
83720,Trafalgar Group,-0.9,10169,PSL,35,Harris
68392,Florida Atlantic University,1.6,14069,REP,42,DeSantis
38068,Big Data Poll,-0.7,16275,DEM,53,Mapstead
22178,New Bridge Strategy/Aspect Strategic,-0.9,6189,OTH,56,Trump
38172,Split Ticket/Data for Progress,0.2,20383,REP,57,Biden
75512,P2 Insights,-1.1,3756,IND,52,DeSantis
27342,PPP,0.6,22460,IND,46,Kennedy
9271,University of Texas at Tyler,1.7,17519,PSL,45,Trump
85199,University of Texas at Tyler,-1.2,22185,LIB,55,Biden
27900,Cor Strategies,0,5285,LIB,43,Harris
42292,PPP,-0.5,9194,IND,44,Biden
70140,TIPP,-0.8,24360,LIB,47,Harris
50095,Gonzales Research & Media Services,0,10538,DEM,51,Harris
41418,Yale Youth Poll,-0.5,17117,LIB,54,Harris
35183,OH Predictive Insights / MBQF,0.1,17803,GRE,52,Biden
14405,Florida Atlantic University,-1.1,24211,DEM,45,Stein
54297,St. Pete Polls,0,20977,PSL,53,Oliver
77523,AtlasIntel,-0.9,4427,LIB,50,Kennedy
21696,Torchlight Strategies,0,7944,DEM,63,Trump
42507,Chism Strategies,-0.2,718,DEM,57,Biden
14991,YouGov/Center for Working Class Politics,-0.2,24646,CON,43,Biden
66728,Marist,0.3,24524,LIB,52,Manchin
4466,Lord Ashcroft Polls,-1,7062,CON,55,Stein
81292,Florida Atlantic University,-0.2,12534,CON,50,Haley
21049,Prime Group,1.7,12071,UNK,44,Trump
64714,Wick,-1,10113,OTH,40,Trump
2406,Kaiser Family Foundation,-0.9,4827,CON,52,Biden
5445,Let's Preserve the American Dream,-0.1,6351,LIB,56,Harris
17456,U. Rhode Island,0.6,7127,IND,60,Trump
75846,Gateway Political Strategies,-1,9465,OTH,54,Biden
40823,Global Strategy Group/North Star Opinion Research,-1.1,3511,LIB,42,Harris
68517,SoCal Strategies,-0.8,16165,CON,53,Harris
931,PEM Management Corporation,0.2,20331,GRE,52,Harris
59762,Texas Lyceum,-1.2,18164,LIB,45,Trump
83035,P2 Insights,NA,12051,CON,52,Kennedy
77749,CWS Research,1.6,11414,REP,64,Biden
56722,Trafalgar Group/InsiderAdvantage,-0.9,7763,OTH,46,Kennedy
55027,NewsNation/Decision Desk HQ,0.2,7500,OTH,55,Biden
67993,John Zogby Strategies,1.6,13760,IND,43,Stein
85316,GS Strategy Group,0,20743,OTH,50,Harris
52380,RMG Research,NA,11082,LIB,55,Mapstead
77805,Kaplan Strategies,1.6,22669,DEM,49,Trump
11348,Outward Intelligence,-1.5,12617,UNK,42,Harris
80000,Praecones Analytica,NA,396,GRE,52,Trump
66628,Quantus Insights,NA,24955,CON,62,Trump
10115,Angus Reid,-0.7,19771,UNK,53,Vance
58412,Hart/POS,1.6,19978,GRE,46,Trump
6975,University of Texas at Tyler,-0.2,11087,GRE,38,Trump
47292,NORC,0.2,19334,UNK,47,DeSantis
30016,John Zogby Strategies,1.6,21348,CON,71,Biden
81871,Digital Research,-0.1,16078,UNK,56,Trump
56422,Echelon Insights,-1.2,25821,OTH,42,Biden
19710,DHM Research,NA,6080,LIB,54,West
57689,Chism Strategies,-0.4,11385,CON,56,Trump
63333,Pan Atlantic Research,-0.4,15417,PSL,67,Trump
81629,Florida Atlantic University,-0.4,22593,LIB,56,Trump
66154,Morning Consult,0.2,9226,IND,49,Trump
28942,Keating Research,0.6,7883,DEM,41,Trump
60056,OnMessage Inc.,-0.8,4774,OTH,56,Biden
9610,SoCal Strategies,NA,22733,REP,57,Harris
6764,Meredith College,0.1,12381,DEM,63,Biden
41169,HarrisX/Harris Poll,-0.8,25714,OTH,49,West
12906,Angus Reid,-0.2,9725,CON,49,Biden
87654,Split Ticket,0.7,20620,CON,52,Kennedy
81045,WPAi,-0.7,23907,PSL,42,Biden
56925,Research & Polling,-0.2,1084,IND,56,Trump
25210,Morning Consult,-1,14895,CON,48,West
26019,Innovative Research Group,0.2,1850,OTH,42,Kennedy
85778,U. New Hampshire,1.7,5547,IND,44,Harris
29103,East Carolina University,-1.1,21090,OTH,39,Kennedy
32611,NewsNation/Decision Desk HQ,-0.5,791,LIB,53,Harris
40935,East Carolina University,-1.1,11248,LIB,56,DeSantis
86960,Lord Ashcroft Polls,-0.4,1977,DEM,48,Stein
6775,Capitol Weekly,-1.5,17252,GRE,42,Stein
39323,TIPP,-0.6,14060,DEM,57,Trump
8077,1983 Labs,-0.5,10308,IND,47,Harris
75568,Marist,-0.2,13505,IND,37,Trump
85710,Faucheux Strategies,-0.1,15657,LIB,57,Biden
13464,Marquette Law School,0.4,4871,UNK,53,Trump
18423,SSRS,0.1,19321,GRE,48,Trump
61739,Z to A Research,-0.5,24612,REP,45,Harris
24624,ActiVote,1.7,25253,REP,53,Biden
35819,P2 Insights,0.7,11858,LIB,46,Harris
5809,University of Massachusetts Lowell/YouGov,-0.6,17718,IND,61,Biden
40933,NORC,-0.8,17197,UNK,56,Oliver
13992,RMG Research,0.4,14014,GRE,50,Trump
66439,Quinnipiac,1.7,22083,PSL,49,Biden
83699,Split Ticket/Data for Progress,0.7,22997,LIB,46,Kennedy
74765,Navigator,1.7,4109,UNK,42,West
74032,The Citadel,-0.4,6197,CON,51,Trump
80827,Pew,-1,10404,PSL,56,Trump
29022,Tarrance,0.2,3898,PSL,55,Trump
82290,Siena,-0.5,21405,IND,60,Trump
47429,SurveyUSA/High Point University,0.7,7715,PSL,47,Trump
20883,NewsNation/Decision Desk HQ,-0.1,25441,GRE,49,Trump
10870,Global Strategy Group/North Star Opinion Research,0.3,24464,IND,50,Biden
73370,Suffolk,0.1,20251,DEM,64,Biden
51512,NORC,-1.1,8541,GRE,46,Trump
43272,CWS Research,0.1,10720,OTH,45,Mapstead
30096,Washington Post/George Mason University,-0.5,21346,DEM,53,Trump
80531,Echelon Insights/GBAO,-0.5,4110,GRE,47,Trump
10688,Ipsos,0.2,17884,PSL,51,Trump
23886,Praecones Analytica,-1.5,21492,OTH,58,Stein
32591,ABC/Washington Post,-0.4,20567,PSL,54,Biden
70717,InsiderAdvantage,-0.9,11978,IND,45,Harris
66072,The Political Matrix/The Listener Group,-1,12952,PSL,57,DeSantis
20483,YouGov/SNF Agora,-0.4,18837,GRE,51,West
16466,The Citadel,-0.9,18174,UNK,46,Trump
70613,HarrisX,-1,14684,DEM,57,West
17158,Gonzales Research & Media Services,-0.5,13196,DEM,39,Stein
87076,HighGround,-0.5,22949,UNK,57,Biden
13761,University of Massachusetts Lowell/YouGov,-1.2,5557,GRE,53,Harris
34279,Benenson Strategy Group/GS Strategy Group,-0.9,14154,IND,44,Oliver
27106,Cor Strategies,-1,3050,OTH,57,Biden
65678,Data Viewpoint,-1.2,7685,REP,50,Trump
17621,Texas Lyceum,0.2,13715,PSL,51,Ramaswamy
5560,RMG Research,-0.1,1120,IND,53,Terry
47568,High Point University,-1.1,2171,DEM,56,Trump
8047,Innovative Research Group,0.1,10902,DEM,65,DeSantis
83871,Quantus Insights,NA,25295,PSL,48,Stein
30921,National Research,-1.5,23284,LIB,44,Trump
39527,YouGov/SNF Agora,0.2,24647,LIB,51,Trump
62384,U. New Hampshire,0.2,16929,UNK,47,Stein
21251,Yale Youth Poll,-0.7,12965,PSL,42,Trump
68575,VCreek/AMG,-1,14428,LIB,54,Harris
3619,Florida Atlantic University/Mainstreet Research,0.4,13247,UNK,61,Trump
57809,Fairleigh Dickinson,-0.6,3622,UNK,44,Mapstead
77359,Kaiser Family Foundation,-0.4,1388,UNK,47,Biden
23637,Fabrizio Ward,-0.8,5195,OTH,53,DeSantis
21512,Yale Youth Poll,0.1,18354,PSL,39,DeSantis
31351,Elway,0.1,12948,CON,61,Biden
43246,Research & Polling,-1.2,17606,PSL,50,Ramaswamy
55658,Florida Atlantic University/Mainstreet Research,-1.3,19881,UNK,42,Trump
22200,Beacon/Shaw,0.2,11931,DEM,64,Biden
30486,CNN/SSRS,0.4,25190,GRE,47,Trump
75239,St. Anselm,-1,19172,GRE,67,Kennedy
55004,Benenson Strategy Group/GS Strategy Group,-1.1,4990,PSL,56,Trump
49831,Elway,0.7,5227,OTH,37,Trump
81052,North Star Opinion Research,-0.5,9729,REP,54,Biden
85134,YouGov/Center for Working Class Politics,-0.8,9391,GRE,48,Trump
63321,Probolsky Research,-1.1,9014,LIB,50,Biden
58862,Ipsos,-0.6,2704,OTH,54,Stein
72158,CWS Research,-0.2,12164,REP,57,West
49247,Leger,-1.3,24258,CON,57,Harris
45680,Christopher Newport U.,NA,692,DEM,53,Trump
47059,Franklin and Marshall College,-1.1,14624,OTH,46,Trump
36472,Siena/NYT,0.4,14608,OTH,49,Harris
80373,TIPP,0.6,4719,UNK,45,Biden
68054,Florida Atlantic University/Mainstreet Research,-0.9,15672,GRE,48,Trump
912,University of Maryland/Washington Post,-0.1,12150,LIB,55,Trump
45085,The Citadel,1.6,8050,PSL,59,Trump
4916,Pan Atlantic Research,1.7,10564,CON,41,Trump
86980,The Washington Post,-0.7,10934,DEM,51,Trump
57521,Ohio Northern University Institute for Civics and Public Policy,1.7,1972,IND,46,Biden
16217,Manhattan Institute,1.6,22903,IND,47,West
10422,Patriot Polling,-0.4,16276,CON,51,Kennedy
71050,Digital Research,1.7,21545,PSL,55,Trump
18072,Embold Research,-0.9,13583,CON,66,Trump
61155,Fabrizio,-1.5,15694,UNK,58,West
83109,Trafalgar Group,-0.6,4952,OTH,56,Harris
27889,CNN/SSRS,-1.5,18094,REP,49,Kennedy
78719,Benenson Strategy Group/GS Strategy Group,0.3,22765,DEM,63,Kennedy
38565,Quantus Polls and News,-1.1,20468,REP,40,Trump
75613,Rasmussen,-0.1,19666,REP,62,Biden
51629,Cygnal/Aspect Strategic,-0.6,25016,IND,51,Trump
61129,Rasmussen,0.7,21748,UNK,42,Biden
16730,Leger,0.1,24352,UNK,44,Trump
22426,USC Dornsife/CSU Long Beach/Cal Poly Pomona,-0.1,17143,UNK,46,Biden
18482,Cherry Communications,-0.2,4475,REP,54,Harris
38789,Fabrizio/Impact,-0.1,3010,PSL,42,West
38437,Florida Atlantic University,-0.6,23322,IND,59,Biden
47439,Change Research,-0.2,11091,GRE,55,Biden
82680,J.L. Partners,-0.7,5646,CON,54,Trump
17377,SurveyUSA,0.6,5263,UNK,39,West
25355,New Bridge Strategy/Aspect Strategic,-0.1,21189,CON,42,Biden
76108,Project Home Fire,-1,11951,DEM,51,Harris
14319,InsiderAdvantage,NA,6503,CON,41,Trump
77483,Quinnipiac,-0.2,1709,IND,46,Biden
12382,Marist,-1.1,18928,UNK,60,Newsom
51252,Texas Lyceum,1.7,20374,OTH,52,Stein
68738,Fabrizio Ward,-1.2,17533,DEM,69,Biden
28663,Target Insyght,-1.2,25334,CON,64,Oliver
29801,Meeting Street Insights,-1.3,990,PSL,54,Biden
80022,Virginia Commonwealth U.,NA,11074,DEM,50,Biden
7897,Innovative Research Group,-0.9,19611,LIB,49,Biden
70818,Franklin and Marshall College,-0.7,14884,CON,45,Oliver
35455,Wick,0.7,19192,GRE,55,Trump
61059,U. North Florida,-1,16501,REP,56,Biden
78413,Yale Youth Poll,-1.1,24534,PSL,40,Stein
1862,Mitchell,-1.5,24975,LIB,46,Harris
80383,Research Co.,NA,17937,CON,55,Trump
78820,ARW Strategies,0.6,22065,REP,47,West
35573,Hart Research Associates,1.7,21857,PSL,51,West
72832,Schoen Cooperman,-1.2,7306,DEM,56,Stein
33327,ActiVote,0.1,686,LIB,55,Biden
11942,Opinion Diagnostics,NA,7627,DEM,38,Kennedy
41030,co/efficient,-0.3,8911,UNK,59,Harris
65475,Fairleigh Dickinson,-0.9,7407,CON,48,Mapstead
54050,North Star Opinion Research,0.2,1869,DEM,41,Harris
38380,Research America,-1,15781,DEM,57,Trump
27989,Fabrizio Ward,-1,1023,LIB,40,Trump
85770,SoonerPoll.com,0.6,25200,GRE,50,Biden
31119,Roanoke College,1.7,349,LIB,48,Trump
9377,Global Strategy Group,1.7,1135,CON,51,Trump
11668,Research Co.,0.7,13010,UNK,40,Kennedy
27538,Lake Research,-0.4,10405,LIB,37,Stein
